#FOSTER:	So Erasmus laid the the- --	laid the egg,
laid the egg,	which Luther hatched.
(H) the gate of paradise Q>.	... <L2 Es ging mir ein Licht auf L2>.
... <L2 Es ging mir ein Licht auf L2>.	(H) ... The light broke in on me.
(H) ... The light broke in on me.	(H) ... And what was this light.
(H) ... And what was this light.	... (TSK) That the righteousness of God,
... (TSK) That the righteousness of God,	... is passive righteousness.
... is passive righteousness.	.. It's not the righteousness,
.. It's not the righteousness,	you see,
you see,	Luther said,
Luther said,	<Q I hated that .. that phrase righteousness of God.
<Q I hated that .. that phrase righteousness of God.	(H) What does righteousness of God mean.
(H) What does righteousness of God mean.	(H) Righteousness of God means,
(H) Righteousness of God means,	(H) God is holy.
(H) God is holy.	(H) And I'm a sinner.
(H) And I'm a sinner.	... And I can never stand in his presence.
... And I can never stand in his presence.	(H) And the gulf between us can never be bridged,
(H) And the gulf between us can never be bridged,	.. and he's gonna c=ast me into Hell,
.. and he's gonna c=ast me into Hell,	because of my sin.
because of my sin.	(H) What shall I do to earn the righteousness of God Q>.
(H) What shall I do to earn the righteousness of God Q>.	So you see he was constantly (H) preoccupied with this thought,
So you see he was constantly (H) preoccupied with this thought,	(H) of somehow,
(H) of somehow,	(H) satisfying the righteousness of God.
(H) satisfying the righteousness of God.	(H) Through some work.
(H) Through some work.	.. (H) Through some indulgence.
.. (H) Through some indulgence.	(H) Through some prayer.
(H) Through some prayer.	S_through- through- through- renunciation.
S_through- through- through- renunciation.	Through fasting.
Through fasting.	Through vigils.
Through vigils.	(H) You know,
(H) You know,	he says,
he says,	if a monk,
if a monk,	if a m- m- % --
if a m- m- % --	(H) <Q if ever a monk could've gained heaven through his monkery,
(H) <Q if ever a monk could've gained heaven through his monkery,	(H) it would have been I.
(H) it would have been I.	[@ (H) @@ (H) You see?
[@ (H) @@ (H) You see?	MANY:	[(LAUGHTER)]
MANY:	[(LAUGHTER)]	#FOSTER:	(H) I mean,
#FOSTER:	(H) I mean,	(H) I mean @>,
(H) I mean @>,	(H) if ever a monk],
(H) if ever a monk],	could've gained heaven through his monkery,
could've gained heaven through his monkery,	it would've [been I].
it would've [been I].	AUD:	            [@=]
AUD:	            [@=]	#FOSTER:	(H) Because he d- he did everything,
#FOSTER:	(H) Because he d- he did everything,	.. that he thought would,
.. that he thought would,	.. would make God respond .. sympathetically to him.
.. would make God respond .. sympathetically to him.	And and pacify= this righteousness.
And and pacify= this righteousness.	(H) And he was always miserable.
(H) And he was always miserable.	... (TSK) And then he discovered,
... (TSK) And then he discovered,	(H) it's nothing that I do=.
(H) it's nothing that I do=.	... It's what I accept in faith.
... It's what I accept in faith.	.. Namely,
.. Namely,	... the sacrifice of Christ,
... the sacrifice of Christ,	the vicarious sacrifice of Christ,
the vicarious sacrifice of Christ,	for my sin on the cross,
for my sin on the cross,	(H) I reach out,
(H) I reach out,	.. I accept that,
.. I accept that,	... %as my --
... %as my --	.. and .. and then the righteousness of God,
.. and .. and then the righteousness of God,	(H) is .. imputed to me.
(H) is .. imputed to me.	... It's given to me.
... It's given to me.	... The .. <MRC the just (H) shall live .. by faith MRC>.
... The .. <MRC the just (H) shall live .. by faith MRC>.	... And so,
... And so,	(H) this life .. in God comes to you not,
(H) this life .. in God comes to you not,	.. <ot,
.. <ot,	it's not God %>,
it's not God %>,	th- this <L2 deus absconditus L2>,
th- this <L2 deus absconditus L2>,	this concealed God,
this concealed God,	this angry God,
this angry God,	this God who's waiting to throw you into Hell at any minute,
this God who's waiting to throw you into Hell at any minute,	(H)= that .. that was the image that Luther had.
(H)= that .. that was the image that Luther had.	And now you see,
And now you see,	and and and works were associated with this.
and and and works were associated with this.	His works.
His works.	What do I have to do,
What do I have to do,	(H) what do I have to do to placate him.
(H) what do I have to do to placate him.	What do I have to do to please him.
What do I have to do to please him.	(H) And now you see the breakthrough comes.
(H) And now you see the breakthrough comes.	(H) So,
(H) So,	(H) Luther,
(H) Luther,	from his point of view,
from his point of view,	you see,
you see,	he's coming at it from an angle of a .. of an Augustinian monk.
he's coming at it from an angle of a .. of an Augustinian monk.	He's coming at it from that.
He's coming at it from that.	With this travail of soul.
With this travail of soul.	This agony and anguish (H) of looking for this God.
This agony and anguish (H) of looking for this God.	(H) So,
(H) So,	(H) he is,
(H) he is,	.. after this discovery,
.. after this discovery,	(H) he is going to .. detest (H) anything .. in theology,
(H) he is going to .. detest (H) anything .. in theology,	(H) which smacks of (H) human effort,
(H) which smacks of (H) human effort,	... or human work,
... or human work,	... sufficient ... to please God,
... sufficient ... to please God,	.. or to placate God.
.. or to placate God.	(H) N=o.
(H) N=o.	... There is nothing you can do to please God.
... There is nothing you can do to please God.	(H) .. God .. loves you,
(H) .. God .. loves you,	.. he gives you his grace,
.. he gives you his grace,	(H) totally (H) out of his grace,
(H) totally (H) out of his grace,	.. and n=othing from your merit.
.. and n=othing from your merit.	... So the human will (H) cannot,
... So the human will (H) cannot,	.. you cannot decide (H) to accept God,
.. you cannot decide (H) to accept God,	and his grace.
and his grace.	... Even the gift of faith.
... Even the gift of faith.	It's interesting in um,
It's interesting in um,	.. (TSK) in Bonifas,
.. (TSK) in Bonifas,	in his book= uh,
in his book= uh,	now he's a French Huguenot.
now he's a French Huguenot.	So you would expect it.
So you would expect it.	(H) But it's still,
(H) But it's still,	it comes in an interesting scene.
it comes in an interesting scene.	(H) .. Where he's in one of the camps.
(H) .. Where he's in one of the camps.	It's in the second world war,
It's in the second world war,	he's in the concentration camp in Germany,
he's in the concentration camp in Germany,	... (TSK) and it's very,
... (TSK) and it's very,	b- it's a beautifully written book.
b- it's a beautifully written book.	And and he=,
And and he=,	uh,
uh,	he's in this scene,
he's in this scene,	(H) in this camp,
(H) in this camp,	.. and,
.. and,	... you know,
... you know,	(H) .. you just wanna give up,
(H) .. you just wanna give up,	a(Hx)_I mean,
a(Hx)_I mean,	(Hx)_every day is,
(Hx)_every day is,	(H) you're hanging onto life ... by your .. fingernails.
(H) you're hanging onto life ... by your .. fingernails.	(H) And u=m,
(H) And u=m,	.. he said,
.. he said,	... every day,
... every day,	we just lived for one day.
we just lived for one day.	We lived one day at a time.
We lived one day at a time.	And then he said it dawned on me,
And then he said it dawned on me,	(H) that um,
(H) that um,	.. I I prayed,
.. I I prayed,	I lifted up my= voice to the Lord,
I lifted up my= voice to the Lord,	we prayed together,
we prayed together,	and I prayed,
and I prayed,	and,
and,	(H) and he said then it came to me.
(H) and he said then it came to me.	.. (H) That .. what sustains me in this situation,
.. (H) That .. what sustains me in this situation,	in this concentration camp,
in this concentration camp,	.. (H) what sustains me,
.. (H) what sustains me,	.. is my=,
.. is my=,	... <MRC my d=eep f=aith .. in God MRC>.
... <MRC my d=eep f=aith .. in God MRC>.	<P ... And then he said,
<P ... And then he said,	... and then it dawned on me,
... and then it dawned on me,	... that this deep faith,
... that this deep faith,	which I have in God,
which I have in God,	... is not ... my creation.
... is not ... my creation.	... Well that's interesting,
... Well that's interesting,	isn't it.
isn't it.	... (H) This faith ... was given me.
... (H) This faith ... was given me.	... I did not create it,
... I did not create it,	... I did not conjure it up,
... I did not conjure it up,	... it came to me.
... it came to me.	... It was given to me.
... It was given to me.	... That's the testimony of a Huguenot.
... That's the testimony of a Huguenot.	.. (H) Inmate .. in a concentration camp P>.
.. (H) Inmate .. in a concentration camp P>.	.. (H) Well let's take a break.
.. (H) Well let's take a break.	...
