LAURA:	... Look at this.	Isn't this pretty?
Isn't this pretty?	LISBETH:	.. %X.
LISBETH:	.. %X.	... [<X Li=me ..] crea=m X>.
... [<X Li=me ..] crea=m X>.	DON:	[What is that].
LAURA:	[4<X Back to the setting X>4].	LISBETH:	[4<X I bought that cho4][5colate X>5],
LISBETH:	[4<X I bought that cho4][5colate X>5],	JENN:	[5<VOX<A<F I looked at5] [6her chocolate F>A>,
JENN:	[5<VOX<A<F I looked at5] [6her chocolate F>A>,	LEANNE:	[6X .. XX6]
LEANNE:	[6X .. XX6]	JENN:	I said mm6],
JENN:	I said mm6],	and you said,
and you said,	you can't have any of my [chocolate,
you can't have any of my [chocolate,	LAURA:	[@@ @(H)]
LAURA:	[@@ @(H)]	JENN:	(H) you've g]ot to be nicer to me,
JENN:	(H) you've g]ot to be nicer to me,	[2if you want some of my ch2]ocolate VOX>.
[2if you want some of my ch2]ocolate VOX>.	LAURA:	[2@@@@@2]
LAURA:	[2@@@@@2]	BILL:	[3@@3]
BILL:	[3@@3]	JENN:	[3And then I said3],
JENN:	[3And then I said3],	... <HI what?
... <HI what?	And I said,
And I said,	what am I not [nice] [2to you HI> ab2][3out3].
what am I not [nice] [2to you HI> ab2][3out3].	LAURA:	[That-] --
LAURA:	[That-] --	[2That's a2] --
[2That's a2] --	DON:	[2.. Did sh-2] --
DON:	[2.. Did sh-2] --	LAURA:	[3That's3] [4a statement of guilt4].
LAURA:	[3That's3] [4a statement of guilt4].	LEANNE:	[3A way3] [4to XX X= X4].
LEANNE:	[3A way3] [4to XX X= X4].	LAURA:	[5<@<X Respons5][6ibility X>@>6].
LAURA:	[5<@<X Respons5][6ibility X>@>6].	JENN:	[5@They5] --
JENN:	[5@They5] --	DON:	[5@@ @ @5]
DON:	[5@@ @ @5]	LEANNE:	[5<F<@ Dad but wait5] [6a se6][7cond @>F>7].
LEANNE:	[5<F<@ Dad but wait5] [6a se6][7cond @>F>7].	JENN:	[6@I6] --
JENN:	[6@I6] --	DON:	[7Yeah7].
DON:	[7Yeah7].	JENN:	<HI<F Well thank you F>HI>.
JENN:	<HI<F Well thank you F>HI>.	BILL:	No that,
BILL:	No that,	[you're quite right] ~Jennifer.
[you're quite right] ~Jennifer.	JENN:	[@@ (H)]
JENN:	[@@ (H)]	<<POUND Ker+chunk POUND>>.
<<POUND Ker+chunk POUND>>.	[@@@]
[@@@]	DON:	[@@ @(H)]
DON:	[@@ @(H)]	LAURA:	[2@ @ @ @@2]
LAURA:	[2@ @ @ @@2]	BILL:	[2Quite right,
BILL:	[2Quite right,	it's like when my fa2]ther used [3to say3],
it's like when my fa2]ther used [3to say3],	LEANNE:	[3@(H)3]
LEANNE:	[3@(H)3]	.. @@
.. @@	BILL:	.. you'll be sorry [when I'm dead and gone].
BILL:	.. you'll be sorry [when I'm dead and gone].	JENN:	[(H)= Exactly].
JENN:	[(H)= Exactly].	DON:	[<X Plea=se X>.
DON:	[<X Plea=se X>.	.. @@@] @(H)
.. @@@] @(H)	LISBETH:	But do you n- .. don't [2think she has a res2]ponsibility to be good to me?
LISBETH:	But do you n- .. don't [2think she has a res2]ponsibility to be good to me?	JENN:	[2Fu=ck you=2].
JENN:	[2Fu=ck you=2].	.. %But,
.. %But,	BILL:	.. [No],
BILL:	.. [No],	LEANNE:	[Wait a] minute wait [2wait wait2].
LEANNE:	[Wait a] minute wait [2wait wait2].	BILL:	[2the impli2][3cation is3] [4she's not4].
BILL:	[2the impli2][3cation is3] [4she's not4].	LAURA:	[3Oh= no3] [4no4],
LAURA:	[3Oh= no3] [4no4],	LEANNE:	[4Wait wait wait,
LEANNE:	[4Wait wait wait,	whoa whoa4] whoa.
whoa whoa4] whoa.	Wait a second.
Wait a second.	[Ap]ro[2pos something ~Jennifer said in2] May?
[Ap]ro[2pos something ~Jennifer said in2] May?	LISBETH:	[%(Hx)]
LISBETH:	[%(Hx)]	BILL:	[2@ @@ @ (H)2]
BILL:	[2@ @@ @ (H)2]	The implication is that,
The implication is that,	she's no=t [good to you],
she's no=t [good to you],	LISBETH:	[That's right],
LISBETH:	[That's right],	BILL:	[2but not every2][3body has3] agreed with [4that impli4][5cation5].
BILL:	[2but not every2][3body has3] agreed with [4that impli4][5cation5].	LEANNE:	[2Wait ~Lisbeth2].
LEANNE:	[2Wait ~Lisbeth2].	LISBETH:	[3you didn't3] --
LISBETH:	[3you didn't3] --	LEANNE:	[4~Lisbeth4].
LEANNE:	[4~Lisbeth4].	LISBETH:	[5Yeah but you5] were not in the s- --
LISBETH:	[5Yeah but you5] were not in the s- --	in the,
in the,	JENN:	[%(Hx)]
JENN:	[%(Hx)]	LISBETH:	[in] --
LISBETH:	[in] --	[2Christma2][3s tree3] [4shop4],
[2Christma2][3s tree3] [4shop4],	JENN:	[2%(Hx)2]
JENN:	[2%(Hx)2]	LEANNE:	[3Wait wait wait3] [4wait wait4],
LEANNE:	[3Wait wait wait3] [4wait wait4],	JENN:	[4%(Hx)4]
JENN:	[4%(Hx)4]	LISBETH:	<@ when she [5carried on @>5],
LISBETH:	<@ when she [5carried on @>5],	DON:	[5@@@@@5]
DON:	[5@@@@@5]	LEANNE:	[5Wait,
LEANNE:	[5Wait,	(H) no ~Jenn5],
(H) no ~Jenn5],	sit,
sit,	[(H) XXXX X on her].
[(H) XXXX X on her].	LISBETH:	[about my behavior],
LISBETH:	[about my behavior],	at [2the checkout2] counter.
at [2the checkout2] counter.	LEANNE:	[2~Lisbeth2],
LEANNE:	[2~Lisbeth2],	[3ap3]ropos some[4thing ~Jennifer said in --
[3ap3]ropos some[4thing ~Jennifer said in --	BILL:	[3Oh3],
BILL:	[3Oh3],	[4wait a min-,
[4wait a min-,	what did you do at the checkout counter4].
what did you do at the checkout counter4].	LEANNE:	<Hi Whoa= HI>,
LEANNE:	<Hi Whoa= HI>,	(H) a4]propos something [5~Jennifer said in May5],
(H) a4]propos something [5~Jennifer said in May5],	LAURA:	[5Well wait.
LAURA:	[5Well wait.	You know5] [6~Liz6],
You know5] [6~Liz6],	DON:	[6Ma=6],
DON:	[6Ma=6],	[7we have to hear7] [8this8] --
[7we have to hear7] [8this8] --	LEANNE:	[7<HI<F Wait wait7] [8X I  F>HI>8] --
LEANNE:	[7<HI<F Wait wait7] [8X I  F>HI>8] --	JENN:	[8XX8]
JENN:	[8XX8]	BILL:	[9<F Will you let9] [~Leanne finish F>].
BILL:	[9<F Will you let9] [~Leanne finish F>].	JENN:	[9Did I X9][XX=]?
JENN:	[9Did I X9][XX=]?	LEANNE:	[Wait,
LEANNE:	[Wait,	<HI ti=me HI>].
<HI ti=me HI>].	<HI Can I say something HI>.
<HI Can I say something HI>.	(H) ~Jennifer and I and ~Dana had a hu=ge argument in May,
(H) ~Jennifer and I and ~Dana had a hu=ge argument in May,	which created a rift for about a day.
which created a rift for about a day.	... Which was b- .. concerning you and grandma.
... Which was b- .. concerning you and grandma.	JENN:	... No not in May,
JENN:	... No not in May,	[because I wasn't here in May].
[because I wasn't here in May].	LISBETH:	[Oh,
LISBETH:	[Oh,	let's not start].
let's not start].	LAURA:	.. Mhm.
LAURA:	.. Mhm.	LISBETH:	Let's not start.
LISBETH:	Let's not start.	JENN:	... (H) What,
JENN:	... (H) What,	what about the checkout counter [then.
what about the checkout counter [then.	LEANNE:	[<HI But that's responsibility HI>].
LEANNE:	[<HI But that's responsibility HI>].	JENN:	You were about to,
JENN:	You were about to,	you were about to] correct my m[2other,
you were about to] correct my m[2other,	LEANNE:	[2So,
LEANNE:	[2So,	so2],
so2],	JENN:	on something a2][2bout the checkout-2].
JENN:	on something a2][2bout the checkout-2].	LAURA:	[3Well I3],
LAURA:	[3Well I3],	I think there is a --
I think there is a --	%Uh you see,
%Uh you see,	DON:	What happened at the [checkout counter].
DON:	What happened at the [checkout counter].	BILL:	[What hap- --
BILL:	[What hap- --	We wanna know][2=2].
We wanna know][2=2].	JENN:	[2Mo2]=m [3says3] [4I pounced4] on her,
JENN:	[2Mo2]=m [3says3] [4I pounced4] on her,	LEANNE:	[3@(Hx)3]
LEANNE:	[3@(Hx)3]	RICHARD:	[3@(H)3][4@@4]
RICHARD:	[3@(H)3][4@@4]	JENN:	And all I did,
JENN:	And all I did,	[this is what I did.
[this is what I did.	LAURA:	[I don't know what happened].
LAURA:	[I don't know what happened].	JENN:	I went] Mo=m?
JENN:	I went] Mo=m?	LISBETH:	... Calm down.
LISBETH:	... Calm down.	[And then] --
[And then] --	JENN:	[No],
JENN:	[No],	I didn't say it loud,
I didn't say it loud,	I just went like this.
I just went like this.	I said,
I said,	LISBETH:	%Y- %(Hx),
LISBETH:	%Y- %(Hx),	sh- <VOX such a [lie][2=2] VOX>.
sh- <VOX such a [lie][2=2] VOX>.	LEANNE:	[(Hx)]
LEANNE:	[(Hx)]	LAURA:	[2@2][3@@3]
LAURA:	[2@2][3@@3]	JENN:	[3%(H)3] [4Did I p4][5ounce5] --
JENN:	[3%(H)3] [4Did I p4][5ounce5] --	LISBETH:	[4You said-4] --
LISBETH:	[4You said-4] --	[5S=5][6uch a6] --
[5S=5][6uch a6] --	LAURA:	[5.. I5] [6was %6] --
LAURA:	[5.. I5] [6was %6] --	I didn't see what happened in the [7checkout7] c[8ounter,
I didn't see what happened in the [7checkout7] c[8ounter,	LEANNE:	[7<HI What HI>7]?
LEANNE:	[7<HI What HI>7]?	JENN:	[8<HI I do not HI> pounce on you8].
JENN:	[8<HI I do not HI> pounce on you8].	LAURA:	I was gonna offer an opinion a8]bout the d- --
LAURA:	I was gonna offer an opinion a8]bout the d- --	.. the d- --
.. the d- --	the disagreement there.
the disagreement there.	About ... the .. uh[=,
About ... the .. uh[=,	BILL:	[What was she doing] there why [2you2] --
BILL:	[What was she doing] there why [2you2] --	LAURA:	the trust].
LAURA:	the trust].	JENN:	[2The2] trust involved.
JENN:	[2The2] trust involved.	Do you [3think that3]'s true <X any X>.
Do you [3think that3]'s true <X any X>.	LAURA:	[3Yeah3].
LAURA:	[3Yeah3].	... Yeah I do [4think that's true4].
... Yeah I do [4think that's true4].	LISBETH:	[4But it was not about4] ~Jennifer,
LISBETH:	[4But it was not about4] ~Jennifer,	it was about the lady.
it was about the lady.	LAURA:	Right.
LAURA:	Right.	But I,
But I,	I happened to agree with ~Jennifer.
I happened to agree with ~Jennifer.	Because it reminds me of all these old people in the supermarket,
Because it reminds me of all these old people in the supermarket,	.. who are standing there going,
.. who are standing there going,	.. are you sure that's twenty one cents,
.. are you sure that's twenty one cents,	.. or twenty two cents.
.. or twenty two cents.	It's [programmed] [2into the computer2].
It's [programmed] [2into the computer2].	LISBETH:	[I=],
LISBETH:	[I=],	DON:	[2@ .. @@2] [3.. @@3]
DON:	[2@ .. @@2] [3.. @@3]	LISBETH:	[2<MRC the lady spec2][3ifical3]ly said,
LISBETH:	[2<MRC the lady spec2][3ifical3]ly said,	... to ho=ld off with putting things on [4the counter MRC>4].
... to ho=ld off with putting things on [4the counter MRC>4].	JENN:	[4Mo=m4] .. was getting a h=-,
JENN:	[4Mo=m4] .. was getting a h=-,	was starting [5to h5]yperventilate,
was starting [5to h5]yperventilate,	RICHARD:	[5@5]
RICHARD:	[5@5]	JENN:	at the [6checkout <X counter X>6].
JENN:	at the [6checkout <X counter X>6].	LAURA:	[6@@@6]
LAURA:	[6@@@6]	LISBETH:	[6There were so6] many objects going on the [7counter7].
LISBETH:	[6There were so6] many objects going on the [7counter7].	JENN:	[7<VOX It was ma7][8king her8] crazy VOX>.
JENN:	[7<VOX It was ma7][8king her8] crazy VOX>.	DON:	[8@(H)8]
DON:	[8@(H)8]	JENN:	[9<@ Just so many9] [ob][2jects @>2].
JENN:	[9<@ Just so many9] [ob][2jects @>2].	LEANNE:	[9@(Hx) @@9][@]
LEANNE:	[9@(Hx) @@9][@]	BILL:	[9.. @9][@@]
BILL:	[9.. @9][@@]	LISBETH:	[And it] [2was2] not [3cle3][4ar4],
LISBETH:	[And it] [2was2] not [3cle3][4ar4],	DON:	[3@3]
DON:	[3@3]	LEANNE:	[4(THROAT)4]
LEANNE:	[4(THROAT)4]	LISBETH:	... for a [5little5],
LISBETH:	... for a [5little5],	LEANNE:	[5(THROAT)5]
LEANNE:	[5(THROAT)5]	LISBETH:	few minutes there,
LISBETH:	few minutes there,	wh=at was already rung in,
wh=at was already rung in,	.. <MRC .. and what was not rung in MRC>.
.. <MRC .. and what was not rung in MRC>.	And I did not want= the lady= to get confu=sed,
And I did not want= the lady= to get confu=sed,	and ring in items more than once.
and ring in items more than once.	JENN:	So [she] --
JENN:	So [she] --	LISBETH:	[And sh]e specifically said,
LISBETH:	[And sh]e specifically said,	.. not to put [2everything2] on the [3counter3].
.. not to put [2everything2] on the [3counter3].	LAURA:	[2Okay2].
LAURA:	[2Okay2].	[3Well then3],
[3Well then3],	I didn't,
I didn't,	[I didn't know that].
[I didn't know that].	BILL:	[Yeah=,
BILL:	[Yeah=,	and so what] happened.
and so what] happened.	LISBETH:	.. (SNIFF) .. Starts putting everything on the cou[2nter2].
LISBETH:	.. (SNIFF) .. Starts putting everything on the cou[2nter2].	JENN:	[2No=2],
JENN:	[2No=2],	... I w- --
... I w- --	... Acts like I'm a child,
... Acts like I'm a child,	like I'm just throwing things on.
like I'm just throwing things on.	I was [no]=t.
I was [no]=t.	LISBETH:	[No],
LISBETH:	[No],	JENN:	[2There was an order to how I was doing it2],
JENN:	[2There was an order to how I was doing it2],	RICHARD:	[2@(H)= @@@@ @(H)2]
RICHARD:	[2@(H)= @@@@ @(H)2]	BILL:	It was yeah.
BILL:	It was yeah.	O[=ne at a time].
O[=ne at a time].	LEANNE:	[Yeah but ~Jennifer].
LEANNE:	[Yeah but ~Jennifer].	As- --
As- --	One person's order is another person's mess[=].
One person's order is another person's mess[=].	JENN:	[No][2=2].
JENN:	[No][2=2].	LAURA:	[2@@2]@@
LAURA:	[2@@2]@@	LISBETH:	... @(Hx)
LISBETH:	... @(Hx)	LEANNE:	[Especial]ly if [2you look in my bedroom2].
LEANNE:	[Especial]ly if [2you look in my bedroom2].	LAURA:	[@@]
LAURA:	[@@]	JENN:	[2M=o=m was starting to hyper2]ventilate,
JENN:	[2M=o=m was starting to hyper2]ventilate,	about something that did not require a breakdown,
about something that did not require a breakdown,	.. [and I=] was [2trying to pat her2] [3on3] [4the shoulder,
.. [and I=] was [2trying to pat her2] [3on3] [4the shoulder,	X:	[@Ts- %]
X:	[@Ts- %]	LEANNE:	[2@@2][3@3]
LEANNE:	[2@@2][3@3]	LISBETH:	[3It looks3] [4a bit --
LISBETH:	[3It looks3] [4a bit --	And I said to her in the car4],
And I said to her in the car4],	JENN:	and say it was o=kay4].
JENN:	and say it was o=kay4].	LISBETH:	that this language,
LISBETH:	that this language,	... <MRC just makes me angry MRC>.
... <MRC just makes me angry MRC>.	... This [ex]aggerated language,
... This [ex]aggerated language,	JENN:	[X]
JENN:	[X]	X:	Ts=,
X:	Ts=,	RICHARD:	... What does this have to do with guilt?
RICHARD:	... What does this have to do with guilt?	LISBETH:	@(Hx)[@@@]
LISBETH:	@(Hx)[@@@]	LAURA:	[(LAUGHTER)][2=2][3=3][4=4][5=5][6=6][7=7][8=8]
LAURA:	[(LAUGHTER)][2=2][3=3][4=4][5=5][6=6][7=7][8=8]	BILL:	[.. @] [2@Right.
BILL:	[.. @] [2@Right.	DON:	[2@@@@@2]
DON:	[2@@@@@2]	BILL:	.. @2]
BILL:	.. @2]	[3Right3].
[3Right3].	DON:	[4I don't4] [5know ~Rich5].
DON:	[4I don't4] [5know ~Rich5].	LEANNE:	[5Or mon5][6ogamy6].
LEANNE:	[5Or mon5][6ogamy6].	BILL:	[7What does it have to do with monogamy.
BILL:	[7What does it have to do with monogamy.	That's what I wan7][8na know8].
That's what I wan7][8na know8].	LEANNE:	[8<HI Yeah,
LEANNE:	[8<HI Yeah,	I wanna8] [9 come back to HI> the9] [monogamy thing ~Jenn][2=2].
I wanna8] [9 come back to HI> the9] [monogamy thing ~Jenn][2=2].	DON:	[9@@9]
DON:	[9@@9]	BILL:	[@@= @@]
BILL:	[@@= @@]	LAURA:	[2@@2]
LAURA:	[2@@2]	JENN:	... That was .. a slip.
JENN:	... That was .. a slip.	DON:	.. [@@ @A @slip].
DON:	.. [@@ @A @slip].	BILL:	[@@@]
BILL:	[@@@]	X:	.. (HICCUP)
X:	.. (HICCUP)	MARY:	.. [Where did] that language of exaggeration [2come from,
MARY:	.. [Where did] that language of exaggeration [2come from,	DON:	[Uh=],
DON:	[Uh=],	BILL:	[2You know what,
BILL:	[2You know what,	there's two sides to this2][3=3].
there's two sides to this2][3=3].	MARY:	as a joke2]?
MARY:	as a joke2]?	LISBETH:	[3@Uh3],
LISBETH:	[3@Uh3],	MARY:	Cause it's % my disease.
MARY:	Cause it's % my disease.	And,
And,	~Mimi ~Fogarty is like ... the biggest ... perpetrator of it.
~Mimi ~Fogarty is like ... the biggest ... perpetrator of it.	BILL:	~Mimi [~Fogarty- --
BILL:	~Mimi [~Fogarty- --	LISBETH:	[You don't exagg]erate.
LISBETH:	[You don't exagg]erate.	BILL:	Oh].
BILL:	Oh].	MARY:	.. Sh=[2e d-2] --
MARY:	.. Sh=[2e d-2] --	BILL:	[2Oh2].
BILL:	[2Oh2].	LISBETH:	You're very cautious.
LISBETH:	You're very cautious.	... It [seems to me].
... It [seems to me].	MARY:	[But sometimes] I do,
MARY:	[But sometimes] I do,	cause when I'm around other people,
cause when I'm around other people,	I .. tend to talk [like them],
I .. tend to talk [like them],	BILL:	[Well %] --
BILL:	[Well %] --	MARY:	... just like,
MARY:	... just like,	.. just little jokey things,
.. just little jokey things,	just like,
just like,	LISBETH:	... Yeah but that's just,
LISBETH:	... Yeah but that's just,	MARY:	[with] [2numbers2] [3and stuff3].
MARY:	[with] [2numbers2] [3and stuff3].	BILL:	[~Jen][2nifer2],
BILL:	[~Jen][2nifer2],	LISBETH:	[2That's how you m2][3ake humor3].
LISBETH:	[2That's how you m2][3ake humor3].	That's how you [4make humor4].
That's how you [4make humor4].	MARY:	[4Yeah,
MARY:	[4Yeah,	that's just hu4]mor[5=5].
that's just hu4]mor[5=5].	BILL:	[5~J=5]ennifer and ~Lisbeth are hyper ... uh[6= sensitive6],
BILL:	[5~J=5]ennifer and ~Lisbeth are hyper ... uh[6= sensitive6],	MARY:	[6Like I told you twenty ti6]=mes.
MARY:	[6Like I told you twenty ti6]=mes.	BILL:	to one another's language.
BILL:	to one another's language.	... So,
... So,	[if ~Jenni]fer says,
[if ~Jenni]fer says,	MARY:	[XXX].
MARY:	[XXX].	BILL:	... uh Mo=m,
BILL:	... uh Mo=m,	... ~Lisbeth hears,
... ~Lisbeth hears,	... a lot more [into it] .. than Mom.
... a lot more [into it] .. than Mom.	MARY:	[Right].
MARY:	[Right].	BILL:	... And if m- .. ~Lisbeth says,
BILL:	... And if m- .. ~Lisbeth says,	MARY:	... ~Jenn[ifer],
MARY:	... ~Jenn[ifer],	BILL:	[~Jenn]ifer,
BILL:	[~Jenn]ifer,	~J=[2ennifer2] hears .. uh .. paragraphs.
~J=[2ennifer2] hears .. uh .. paragraphs.	MARY:	[2Yeah2].
MARY:	[2Yeah2].	Sure.
Sure.	BILL:	... So there's a long history here.
BILL:	... So there's a long history here.	LEANNE:	.. [@ <@ Nine]-tenths of that paragraph @> [2is2] [3guilt3].
LEANNE:	.. [@ <@ Nine]-tenths of that paragraph @> [2is2] [3guilt3].	LAURA:	[Well that] --
LAURA:	[Well that] --	[2That's2] [3like3] ~Leanne's,
[2That's2] [3like3] ~Leanne's,	BILL:	[3And then3] --
BILL:	[3And then3] --	LEANNE:	<@ XX XX @>,
LEANNE:	<@ XX XX @>,	JENN:	We'll have [very short sentences].
JENN:	We'll have [very short sentences].	LEANNE:	[XXXXXX]
LEANNE:	[XXXXXX]	LAURA:	[The button that you gave me].
LAURA:	[The button that you gave me].	[2Don't look at me in that tone of2] [3voice3].
[2Don't look at me in that tone of2] [3voice3].	JENN:	[2We'll write very short letters to one another2].
JENN:	[2We'll write very short letters to one another2].	MARY:	[3Did you3] [4have that4] [5with your mo5]ther though?
MARY:	[3Did you3] [4have that4] [5with your mo5]ther though?	BILL:	[4Right4].
BILL:	[4Right4].	LAURA:	[5@@@5]
LAURA:	[5@@@5]	LEANNE:	<X The other [6times X>6] --
LEANNE:	<X The other [6times X>6] --	MARY:	[6Well that's6] [7a possibility7].
MARY:	[6Well that's6] [7a possibility7].	JENN:	[6No6].
JENN:	[6No6].	[7She didn't talk to her7] mom.
[7She didn't talk to her7] mom.	LEANNE:	.. What Ma,
LEANNE:	.. What Ma,	what were you saying about me and you?
what were you saying about me and you?	LAURA:	... [That button you gave me],
LAURA:	... [That button you gave me],	MARY:	[With thi=s like],
MARY:	[With thi=s like],	LAURA:	don't look at me in [2that tone of voice2]?
LAURA:	don't look at me in [2that tone of voice2]?	MARY:	[2The to=ne of the2] voi- --
MARY:	[2The to=ne of the2] voi- --	[Yeah]= like,
[Yeah]= like,	X:	[XX]
X:	[XX]	MARY:	I don't .. <P<%<X really .. think X>%>P>,
MARY:	I don't .. <P<%<X really .. think X>%>P>,	LEANNE:	... It's true.
LEANNE:	... It's true.	No.
No.	MARY:	... It came with [the valley girls I think].
MARY:	... It came with [the valley girls I think].	LEANNE:	[Everything's ripe with] with,
LEANNE:	[Everything's ripe with] with,	... hidden meaning.
... hidden meaning.	MARY:	... <%<P<X Where it started X>P>%>.
MARY:	... <%<P<X Where it started X>P>%>.	LEANNE:	... Start what.
LEANNE:	... Start what.	MARY:	... That ... way of j- speaking.
MARY:	... That ... way of j- speaking.	Just like,
Just like,	<VOX M=o=m VOX>,
<VOX M=o=m VOX>,	LAURA:	@@[@@@@@]
LAURA:	@@[@@@@@]	MARY:	[like <@ I don't feel like,
MARY:	[like <@ I don't feel like,	peo]ple say that and I @> X --
peo]ple say that and I @> X --	LEANNE:	Jew=s ... said that in the nineteenth century.
LEANNE:	Jew=s ... said that in the nineteenth century.	LAURA:	.. @@@
LAURA:	.. @@@	MARY:	... %(Hx) .. %Ah,
MARY:	... %(Hx) .. %Ah,	just ex[pressing my-] --
just ex[pressing my-] --	RICHARD:	[What ti=me] [2is it2].
RICHARD:	[What ti=me] [2is it2].	LEANNE:	[2<SING In the2] [3e=veni3]=ng SING>,
LEANNE:	[2<SING In the2] [3e=veni3]=ng SING>,	MARY:	[3<P<X Annoying it just X>P>3],
MARY:	[3<P<X Annoying it just X>P>3],	LAURA:	[4Expressing what4]?
LAURA:	[4Expressing what4]?	DON:	[4Oh about4] [5half an hour5] since you last asked.
DON:	[4Oh about4] [5half an hour5] since you last asked.	LEANNE:	[5~Richard5],
LEANNE:	[5~Richard5],	X:	.. <X This is hot X>.
X:	.. <X This is hot X>.	DON:	Ten twenty five.
DON:	Ten twenty five.	LAURA:	Ten thirty.
LAURA:	Ten thirty.	LEANNE:	... If you're bored,
LEANNE:	... If you're bored,	.. do something.
.. do something.	RICHARD:	... I'm gonna go to sleep in a few minutes.
RICHARD:	... I'm gonna go to sleep in a few minutes.	...
