CAM:	@@@ .. @@ (H)=	No=,
No=,	he doesn't --
He said it sounds like that- she's the one with the problem.	... And I didn't even th=ink about how I s=aid it.
... And I didn't even th=ink about how I s=aid it.	I just said it?
I just said it?	You know?
You know?	... And he interpreted w- how I said it,
... And he interpreted w- how I said it,	.. as how it wa=s.
.. as how it wa=s.	You know,
You know,	[w- which is true=].
[w- which is true=].	LAJUAN:	[(H) And you know what's really f]=unny,
LAJUAN:	[(H) And you know what's really f]=unny,	is [2that a2] psychiatrist [3would3] say that,
is [2that a2] psychiatrist [3would3] say that,	CAM:	[2(SNIFF)2]
CAM:	[2(SNIFF)2]	[3(THROAT)3]
[3(THROAT)3]	LAJUAN:	.. and knowingly know= that,
LAJUAN:	.. and knowingly know= that,	(H) .. you know,
(H) .. you know,	he= accepted the fact that yes you are gay,
he= accepted the fact that yes you are gay,	that it is something that,
that it is something that,	.. (H) like when ~Mike told his friend ~Julia,
.. (H) like when ~Mike told his friend ~Julia,	.. (H) ~Mike was telling me that ~Julia said,
.. (H) ~Mike was telling me that ~Julia said,	.. (H) oh I don't li=ke it,
.. (H) oh I don't li=ke it,	but if that's what you want,
but if that's what you want,	maybe that's not truly who you are=.
maybe that's not truly who you are=.	... You know,
... You know,	and,
and,	.. I said to ~Mike,
.. I said to ~Mike,	I said then ~Mike she didn't accept it.
I said then ~Mike she didn't accept it.	... A=nd,
... A=nd,	... he sai=d,
... he sai=d,	.. (H) well,
.. (H) well,	.. I think she accepted it,
.. I think she accepted it,	she just said that,
she just said that,	(H) and he told her that he feels he was bo=rn with it,
(H) and he told her that he feels he was bo=rn with it,	and she said,
and she said,	... no,
... no,	I don't believe that,
I don't believe that,	I think it's your choice that that's what you want.
I think it's your choice that that's what you want.	.. (H) And I said to- --
.. (H) And I said to- --	And I and I told ~Mike,
And I and I told ~Mike,	I said you know,
I said you know,	(H) I hate when people say that,
(H) I hate when people say that,	because,
because,	.. if I felt that was my choice,
.. if I felt that was my choice,	(H) .. I don't think that would've been the first choice I would've picked.
(H) .. I don't think that would've been the first choice I would've picked.	CAM:	@@@@@
CAM:	@@@@@	[@Oh Go=d no].
[@Oh Go=d no].	LAJUAN:	[(H) And it's not to say that I'm ash]=a=med of being gay,
LAJUAN:	[(H) And it's not to say that I'm ash]=a=med of being gay,	CAM:	[2No=2].
CAM:	[2No=2].	LAJUAN:	[2% what it is2]= is that,
LAJUAN:	[2% what it is2]= is that,	(H) because of what society has do=ne,
(H) because of what society has do=ne,	or has (H) laid the ru=les for us,
or has (H) laid the ru=les for us,	.. (H) I don't [really] think I would have chose to be gay.
.. (H) I don't [really] think I would have chose to be gay.	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	.. I I wouldn't.
LAJUAN:	.. I I wouldn't.	.. Why would I want to be gay,
.. Why would I want to be gay,	and have to deal with what we go through.
and have to deal with what we go through.	CAM:	... Exa=ctly.
CAM:	... Exa=ctly.	And that's <X what X> I ex[plained] to my f=olks now and,
And that's <X what X> I ex[plained] to my f=olks now and,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	.. (H)= [2and they2]= % .. totally believe that it's,
CAM:	.. (H)= [2and they2]= % .. totally believe that it's,	LAJUAN:	[2(THROAT)2]
LAJUAN:	[2(THROAT)2]	CAM:	.. like .. hereditary or genetic or whatever,
CAM:	.. like .. hereditary or genetic or whatever,	that it's not a choice.
that it's not a choice.	.. You know,
.. You know,	[because] --
[because] --	LAJUAN:	[They do] believe it now?
LAJUAN:	[They do] believe it now?	CAM:	Oh yeah.
CAM:	Oh yeah.	[They totally b-] --
[They totally b-] --	LAJUAN:	[(H) Oh=,
LAJUAN:	[(H) Oh=,	I] believe it's .. it's --
I] believe it's .. it's --	I don't know if it's hereditary?
I don't know if it's hereditary?	.. I do believe it's something.
.. I do believe it's something.	(H) It's a ge=ne,
(H) It's a ge=ne,	or it's something.
or it's something.	CAM:	Right.
CAM:	Right.	LAJUAN:	I I do=n't .. think --
LAJUAN:	I I do=n't .. think --	I don't care what people say.
I don't care what people say.	You- you are --
You- you are --	You do not choose.
You do not choose.	CAM:	Unh-u[=nh].
CAM:	Unh-u[=nh].	LAJUAN:	[I've] known,
LAJUAN:	[I've] known,	since I was=,
since I was=,	.. (H) ... gosh,
.. (H) ... gosh,	.. probably=,
.. probably=,	.. I can remember?
.. I can remember?	Four?
Four?	.. Five years old?
.. Five years old?	CAM:	I remember that.
CAM:	I remember that.	[<X Yeah X>].
[<X Yeah X>].	LAJUAN:	[I re]member= .. looking .. a=t,
LAJUAN:	[I re]member= .. looking .. a=t,	... my uncle was sleeping,
... my uncle was sleeping,	.. (H) on the couch,
.. (H) on the couch,	... in our family room,
... in our family room,	(H) an=d,
(H) an=d,	he was sleeping there with his boxers on,
he was sleeping there with his boxers on,	and his .. peepee fell out of his pants.
and his .. peepee fell out of his pants.	(H) .. And I just stood there and stared at it,
(H) .. And I just stood there and stared at it,	(H) an[=d I was] --
(H) an[=d I was] --	CAM:	[@@@]
CAM:	[@@@]	LAJUAN:	And I know it was a sexual arousement,
LAJUAN:	And I know it was a sexual arousement,	cause I can remember feeling sexually .. interested.
cause I can remember feeling sexually .. interested.	CAM:	... @[@@@@]
CAM:	... @[@@@@]	LAJUAN:	[And so I was] like four years old.
LAJUAN:	[And so I was] like four years old.	... So I knew then.
... So I knew then.	.. You you kno=w what you feel insi=de.
.. You you kno=w what you feel insi=de.	You you c- you [can't] --
You you c- you [can't] --	CAM:	[Right].
CAM:	[Right].	LAJUAN:	... (H) And I don't care what anybody says,
LAJUAN:	... (H) And I don't care what anybody says,	a- a- f- at four years old,
a- a- f- at four years old,	I pick- --
I pick- --	I chose that?
I chose that?	That I ... liked .. what I saw,
That I ... liked .. what I saw,	I don't think so.
I don't think so.	I don't think I knew at four years old,
I don't think I knew at four years old,	(H) that I could actually just say oh,
(H) that I could actually just say oh,	(H) wow,
(H) wow,	I wanna play with this guy.
I wanna play with this guy.	(H) [You know],
(H) [You know],	CAM:	[Right].
CAM:	[Right].	LAJUAN:	I don't think so.
LAJUAN:	I don't think so.	.. And and if they say things like,
.. And and if they say things like,	(H) oh when I was maybe s=even,
(H) oh when I was maybe s=even,	... I slept with my cousin ~Tommy,
... I slept with my cousin ~Tommy,	who was probably twelve thirteen?
who was probably twelve thirteen?	(H) .. At the time,
(H) .. At the time,	and I slept with him,
and I slept with him,	... no he was sixteen.
... no he was sixteen.	.. Shared a bed with him,
.. Shared a bed with him,	and he=,
and he=,	.. (H) uh=,
.. (H) uh=,	... started fondling me,
... started fondling me,	and I enjoyed it,
and I enjoyed it,	and I fondled him back.
and I fondled him back.	.. (H) And I was like .. seven years old.
.. (H) And I was like .. seven years old.	(H) And .. I .. I don't say that he did it to me,
(H) And .. I .. I don't say that he did it to me,	he molested me or,
he molested me or,	r- or raped me as people are saying now,
r- or raped me as people are saying now,	(H) the older uncle,
(H) the older uncle,	(H) .. generally,
(H) .. generally,	I think these kids,
I think these kids,	CAM:	... Hm.
CAM:	... Hm.	LAJUAN:	.. not saying adults should've been more responsible,
LAJUAN:	.. not saying adults should've been more responsible,	my six[teen-year-old] cons- cousin should have been more responsible,
my six[teen-year-old] cons- cousin should have been more responsible,	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	and not played with a seven-year-old child,
LAJUAN:	and not played with a seven-year-old child,	(H) but,
(H) but,	.. he did.
.. he did.	(H) But I'm not gonna turn around and tell my aunt,
(H) But I'm not gonna turn around and tell my aunt,	well,
well,	.. gee your son,
.. gee your son,	.. mol[ested me] as a child.
.. mol[ested me] as a child.	CAM:	[Is he gay]?
CAM:	[Is he gay]?	LAJUAN:	No.
LAJUAN:	No.	CAM:	... He's not gay.
CAM:	... He's not gay.	LAJUAN:	.. Well,
LAJUAN:	.. Well,	.. we don't know.
.. we don't know.	(H) [@(Hx)= (H) (H)] (Hx)
(H) [@(Hx)= (H) (H)] (Hx)	CAM:	[@@@@@@]
CAM:	[@@@@@@]	LAJUAN:	.. (H) A=ctually=,
LAJUAN:	.. (H) A=ctually=,	.. I think he is.
.. I think he is.	He brought home a drag queen for Christmas last year.
He brought home a drag queen for Christmas last year.	.. (H) So.
.. (H) So.	CAM:	.. Oh yeah.
CAM:	.. Oh yeah.	@@[@@@]@@@
@@[@@@]@@@	LAJUAN:	[<YWN @@@@]
LAJUAN:	[<YWN @@@@]	.. But,
.. But,	... at the time YWN> no.
... at the time YWN> no.	he ha- --
he ha- --	(H) .. Like when he turned twenty-two,
(H) .. Like when he turned twenty-two,	he got .. married,
he got .. married,	and he had kids and stuff,
and he had kids and stuff,	he has= .. kids,
he has= .. kids,	which doesn't mean anything,
which doesn't mean anything,	there are a lot of fags with kids,
there are a lot of fags with kids,	but,
but,	(H) he= .. just is very,
(H) he= .. just is very,	.. that was what ha=ppened to me.
.. that was what ha=ppened to me.	And .. and I don't blame my cousin,
And .. and I don't blame my cousin,	it was just another awakening experience for me,
it was just another awakening experience for me,	I mean there were several experiences,
I mean there were several experiences,	(H) when I was growing up,
(H) when I was growing up,	I mean,
I mean,	(H) I remember watching one of our neighbors,
(H) I remember watching one of our neighbors,	who was taking a shower,
who was taking a shower,	and you could see right through his bedroom,
and you could see right through his bedroom,	and he got out and he was naked.
and he got out and he was naked.	And I remember watching.
And I remember watching.	.. (H) And I remember being mesmerized by his body.
.. (H) And I remember being mesmerized by his body.	... I was never really that mesmerized by a female's body,
... I was never really that mesmerized by a female's body,	as I was by a male's body,
as I was by a male's body,	[and so],
[and so],	CAM:	[Right].
CAM:	[Right].	LAJUAN:	(H) that's why I don't understand where uh .. they come up with this of,
LAJUAN:	(H) that's why I don't understand where uh .. they come up with this of,	(H) it's your choice.
(H) it's your choice.	It's no=t.
It's no=t.	I I know,
I I know,	(H) [that that's] what I [2felt2].
(H) [that that's] what I [2felt2].	CAM:	[<X Well X>],
CAM:	[<X Well X>],	[2(H) I2] remember when I was li- --
[2(H) I2] remember when I was li- --	I was like probab[3ly three or3] four,
I was like probab[3ly three or3] four,	LAJUAN:	[3(THROAT)3]
LAJUAN:	[3(THROAT)3]	CAM:	and I was wrestling on the-,
CAM:	and I was wrestling on the-,	I th- I [remember] wrestling on the floor,
I th- I [remember] wrestling on the floor,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	(H) with my brothers,
CAM:	(H) with my brothers,	and being aroused.
and being aroused.	<X Mhm X>.
<X Mhm X>.	... Just like .. goofing around and stuff [like that]?
... Just like .. goofing around and stuff [like that]?	LAJUAN:	[Mhm].
LAJUAN:	[Mhm].	CAM:	... (H) And then I think the l- --
CAM:	... (H) And then I think the l- --	.. %The experience when I was younger,
.. %The experience when I was younger,	and my %=older brothers had .. friends over.
and my %=older brothers had .. friends over.	.. (H) I remember the f- --
.. (H) I remember the f- --	.. He he he .. come over with these friends,
.. He he he .. come over with these friends,	with these guys,
with these guys,	and I would just be like,
and I would just be like,	... in lust.
... in lust.	.. @(Hx)= @@ (H)
.. @(Hx)= @@ (H)	@For @these guys,
@For @these guys,	I mean,
I mean,	(H) I must have been like nine or ten,
(H) I must have been like nine or ten,	and I was just like ... idolizing these guys.
and I was just like ... idolizing these guys.	<P Like oh= my Go=d,
<P Like oh= my Go=d,	<X wow= X>P>,
<X wow= X>P>,	... I remember,
... I remember,	I would like imagine like,
I would like imagine like,	.. if I could have them in my bedroom.
.. if I could have them in my bedroom.	LAJUAN:	.. [See th- yeah].
LAJUAN:	.. [See th- yeah].	CAM:	[That type of thing].
CAM:	[That type of thing].	... You know,
... You know,	[of- oh if] --
[of- oh if] --	LAJUAN:	[Mhm].
LAJUAN:	[Mhm].	CAM:	.. Li- as if they were like a to[2=y or2] something.
CAM:	.. Li- as if they were like a to[2=y or2] something.	LAJUAN:	[2(THROAT)2]
LAJUAN:	[2(THROAT)2]	.. (TSK) (H) That was my older brother,
.. (TSK) (H) That was my older brother,	because my [older] brother=,
because my [older] brother=,	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	.. uh=,
LAJUAN:	.. uh=,	.. played football at Perdue,
.. played football at Perdue,	CAM:	.. [Mhm].
CAM:	.. [Mhm].	LAJUAN:	[(H)] and I used to go to games,
LAJUAN:	[(H)] and I used to go to games,	and I followed him around,
and I followed him around,	he'd take me for weekends,
he'd take me for weekends,	and then I'd get to sit in the locker room.
and then I'd get to sit in the locker room.	(H) And,
(H) And,	.. these guys would like tickle me=,
.. these guys would like tickle me=,	and hug me,
and hug me,	and I was just a little kid.
and I was just a little kid.	.. (H) Cause I probably --
.. (H) Cause I probably --	.. Mm,
.. Mm,	.. I was probably about ten at the time,
.. I was probably about ten at the time,	ten eleven,
ten eleven,	(H) and they= just thought I was the ni=cest little boy,
(H) and they= just thought I was the ni=cest little boy,	and,
and,	(H) .. I just had,
(H) .. I just had,	and I knew it.
and I knew it.	I was always sexually aroused by it.
I was always sexually aroused by it.	.. And --
.. And --	(H) And you know these things,
(H) And you know these things,	and,
and,	(H) .. you know it's ins=ide of you.
(H) .. you know it's ins=ide of you.	.. [A=]nd,
.. [A=]nd,	CAM:	[Mhm].
CAM:	[Mhm].	LAJUAN:	... you know,
LAJUAN:	... you know,	.. what what do you do.
.. what what do you do.	.. And I know my brother,
.. And I know my brother,	... who lives in Dallas,
... who lives in Dallas,	uh,
uh,	the one that played football at Perdue,
the one that played football at Perdue,	he --
he --	(H) He knew it.
(H) He knew it.	.. (H) He .. he knew,
.. (H) He .. he knew,	he knew especially after @~Ron,
he knew especially after @~Ron,	.. because when I left California,
.. because when I left California,	(H) I didn't come back here first,
(H) I didn't come back here first,	I actually went to Dallas.
I actually went to Dallas.	(H) .. Because my brother's like come and stay with me=,
(H) .. Because my brother's like come and stay with me=,	things'll work ou=t,
things'll work ou=t,	and,
and,	.. (H) you can look for a job down here.
.. (H) you can look for a job down here.	.. (H) A=nd so=,
.. (H) A=nd so=,	.. ~Ron f=lew to Dallas,
.. ~Ron f=lew to Dallas,	.. and went to my brother's house,
.. and went to my brother's house,	and banged on the door,
and banged on the door,	and said I want to see him,
and said I want to see him,	we need to talk,
we need to talk,	and my brother's like,
and my brother's like,	(H) ... this is really odd for two friends,
(H) ... this is really odd for two friends,	.. to be this emotionally atta=ched.
.. to be this emotionally atta=ched.	(H) And I was like crying all the time,
(H) And I was like crying all the time,	.. (H) and like when ~Ron came,
.. (H) and like when ~Ron came,	I started to- crying,
I started to- crying,	and I was just like,
and I was just like,	just tell him to leave me alone,
just tell him to leave me alone,	just get him out of here,
just get him out of here,	(H) .. and .. blah blah blah,
(H) .. and .. blah blah blah,	and,
and,	CAM:	@ <@ Oh my [Go=d @>].
CAM:	@ <@ Oh my [Go=d @>].	LAJUAN:	[Now you] tell me your family doesn't realize,
LAJUAN:	[Now you] tell me your family doesn't realize,	now what is wrong,
now what is wrong,	that two friends a=re=,
that two friends a=re=,	.. (H)
.. (H)	CAM:	.. Having a,
CAM:	.. Having a,	LAJUAN:	.. Th- a thing.
LAJUAN:	.. Th- a thing.	They're fighting each other=,
They're fighting each other=,	th- one guy's standing outside the house at midnight screaming,
th- one guy's standing outside the house at midnight screaming,	(H) let me talk to him let me talk to him,
(H) let me talk to him let me talk to him,	... it is a little weird.
... it is a little weird.	... You know,
... You know,	so,
so,	CAM:	.. Yeah,
CAM:	.. Yeah,	I think they would figure that one out.
I think they would figure that one out.	LAJUAN:	Yeah,
LAJUAN:	Yeah,	and my brother had met ~Ron,
and my brother had met ~Ron,	cause we went down there on a vacation <X of X> spring break once,
cause we went down there on a vacation <X of X> spring break once,	and he thought we- he was really cool,
and he thought we- he was really cool,	and stuff so,
and stuff so,	.. (H) he really liked him a lo=t,
.. (H) he really liked him a lo=t,	(H) until that episode,
(H) until that episode,	and then,
and then,	.. uh,
.. uh,	I haven't spoke to my brother to be honest with you since.
I haven't spoke to my brother to be honest with you since.	CAM:	.. Really?
CAM:	.. Really?	LAJUAN:	.. %
LAJUAN:	.. %	CAM:	... Why.
CAM:	... Why.	W- was he like upset?
W- was he like upset?	LAJUAN:	... (H)= ... % No= h-,
LAJUAN:	... (H)= ... % No= h-,	I th=ink ... I'm afraid,
I th=ink ... I'm afraid,	CAM:	... Oh,
CAM:	... Oh,	LAJUAN:	.. I'm afraid that he's gonna come right out and ask me,
LAJUAN:	.. I'm afraid that he's gonna come right out and ask me,	CAM:	.. Oh,
CAM:	.. Oh,	LAJUAN:	.. about it,
LAJUAN:	.. about it,	and what happened was,
and what happened was,	I ended up leaving Dallas,
I ended up leaving Dallas,	.. and coming back .. to Wisconsin like a week later,
.. and coming back .. to Wisconsin like a week later,	CAM:	But doesn't he come up here ever?
CAM:	But doesn't he come up here ever?	.. For holidays at all or anything?
.. For holidays at all or anything?	LAJUAN:	I won't go home when he's here.
LAJUAN:	I won't go home when he's here.	CAM:	@(Hx)= [<@ Are you serious @>]?
CAM:	@(Hx)= [<@ Are you serious @>]?	LAJUAN:	[@(Hx) (H)]
LAJUAN:	[@(Hx) (H)]	I won't go to Indiana,
I won't go to Indiana,	% see I don't have any family in Wisconsin.
% see I don't have any family in Wisconsin.	My family['s all in Indi]ana.
My family['s all in Indi]ana.	CAM:	[Mm].
CAM:	[Mm].	LAJUAN:	(H) So when he comes home,
LAJUAN:	(H) So when he comes home,	like if I know he's coming home for Thanksgiving,
like if I know he's coming home for Thanksgiving,	I won't [go home].
I won't [go home].	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	(H) He did call me one time,
LAJUAN:	(H) He did call me one time,	(H) because he needed me to se- sign a property agreement,
(H) because he needed me to se- sign a property agreement,	some property we own jointly,
some property we own jointly,	CAM:	[.. Mhm].
CAM:	[.. Mhm].	LAJUAN:	[(H)]
LAJUAN:	[(H)]	.. My --
.. My --	There's eight of us,
There's eight of us,	that my grandparents left us,
that my grandparents left us,	and he needed to borrow money against it.
and he needed to borrow money against it.	(H) So he called,
(H) So he called,	(H) .. and left me a message,
(H) .. and left me a message,	I wasn't home,
I wasn't home,	I was working,
I was working,	(H) .. a=nd,
(H) .. a=nd,	he said,
he said,	ga=ve me his number and told me to call him ba=ck,
ga=ve me his number and told me to call him ba=ck,	.. (H) and,
.. (H) and,	I called my sister and said fine,
I called my sister and said fine,	send me the p- --
send me the p- --	Tell him to send me the paper and I'll sign it,
Tell him to send me the paper and I'll sign it,	and I never talked to him.
and I never talked to him.	CAM:	[.. @@@]
CAM:	[.. @@@]	LAJUAN:	[.. (H) So I haven't] talked to my b=rother,
LAJUAN:	[.. (H) So I haven't] talked to my b=rother,	... see I've been in Milwaukee for ten years=,
... see I've been in Milwaukee for ten years=,	s=o,
s=o,	.. about ten and a half years.
.. about ten and a half years.	CAM:	.. Wo=w.
CAM:	.. Wo=w.	How old is he.
How old is he.	LAJUAN:	... (H) He's a lot older than I am,
LAJUAN:	... (H) He's a lot older than I am,	cause if I was ten and he was nineteen,
cause if I was ten and he was nineteen,	... so he's nine years older than me?
... so he's nine years older than me?	CAM:	[Oh],
CAM:	[Oh],	LAJUAN:	[So] he's --
LAJUAN:	[So] he's --	.. He's older,
.. He's older,	he's in his forties.
he's in his forties.	... Yeah.
... Yeah.	.. He's in his fort[ies].
.. He's in his fort[ies].	CAM:	[Don't you] think it's it's more that you were just- ... [2nervous at the time 2],
CAM:	[Don't you] think it's it's more that you were just- ... [2nervous at the time 2],	LAJUAN:	[2(H)= Well now I'm gonna2] tell him.
LAJUAN:	[2(H)= Well now I'm gonna2] tell him.	.. I've t- I keep telling myself every month,
.. I've t- I keep telling myself every month,	.. call him,
.. call him,	(H) and just tell him,
(H) and just tell him,	because I wanna go to Dallas,
because I wanna go to Dallas,	(H) .. and I wanna --
(H) .. and I wanna --	I I miss my brother.
I I miss my brother.	He was my best friend-,
He was my best friend-,	and he knows.
and he knows.	.. (H) He= .. knows.
.. (H) He= .. knows.	... But,
... But,	.. I just couldn't,
.. I just couldn't,	... just come right out and tell him then.
... just come right out and tell him then.	I couldn't tell him,
I couldn't tell him,	wel- --
wel- --	There was more to it than that.
There was more to it than that.	(H) ~Ron came to the house,
(H) ~Ron came to the house,	he had a gu=n,
he had a gu=n,	.. (H) they had to call the poli=ce[=],
.. (H) they had to call the poli=ce[=],	CAM:	[He had a gu=]n=?
CAM:	[He had a gu=]n=?	LAJUAN:	.. Yes=.
LAJUAN:	.. Yes=.	CAM:	@(Hx)= [@@@]
CAM:	@(Hx)= [@@@]	LAJUAN:	[And he was standing out]side the house,
LAJUAN:	[And he was standing out]side the house,	saying I'm gonna --
saying I'm gonna --	.. I'm gonna kill myself,
.. I'm gonna kill myself,	if you don't talk to me,
if you don't talk to me,	just tell me,
just tell me,	(H)= .. a=nd,
(H)= .. a=nd,	.. th- --
.. th- --	There was just so much to [this <VOX<X who=le X>VOX>],
There was just so much to [this <VOX<X who=le X>VOX>],	CAM:	[(TSK) This is the guy who] doesn't know he's gay.
CAM:	[(TSK) This is the guy who] doesn't know he's gay.	.. [2Or= isn't2] sure if he's gay.
.. [2Or= isn't2] sure if he's gay.	LAJUAN:	[2Yes2].
LAJUAN:	[2Yes2].	.. Yes.
.. Yes.	Who's now in the air force and lives in th- in South Carolina.
Who's now in the air force and lives in th- in South Carolina.	.. (TSK) (H) %So.
.. (TSK) (H) %So.	CAM:	... Wait a second.
CAM:	... Wait a second.	... I thought this w- guy was go- was married.
... I thought this w- guy was go- was married.	LAJUAN:	... ~Ron.
LAJUAN:	... ~Ron.	CAM:	... ~Ron,
CAM:	... ~Ron,	.. he's married,
.. he's married,	right?
right?	LAJUAN:	.. That's ~Darren.
LAJUAN:	.. That's ~Darren.	CAM:	Oh=,
CAM:	Oh=,	I'm thinking of [~Darren right].
I'm thinking of [~Darren right].	LAJUAN:	[(H) No],
LAJUAN:	[(H) No],	~Darren's= the other guy that,
~Darren's= the other guy that,	.. <SM was also in a frat that I knew in college SM>,
.. <SM was also in a frat that I knew in college SM>,	the one that I told,
the one that I told,	CAM:	.. Oh those frat boys are too much.
CAM:	.. Oh those frat boys are too much.	LAJUAN:	.. @= <@ I know @>.
LAJUAN:	.. @= <@ I know @>.	(H)= He was the one that I told,
(H)= He was the one that I told,	... that if he'd had told me he loved me,
... that if he'd had told me he loved me,	.. I would have never left ~Washington and moved with ~Ron.
.. I would have never left ~Washington and moved with ~Ron.	I would have ... [stuck with] ~Darren.
I would have ... [stuck with] ~Darren.	CAM:	[Oh].
CAM:	[Oh].	LAJUAN:	.. I would have n=ever.
LAJUAN:	.. I would have n=ever.	(H) Cause I never really,
(H) Cause I never really,	.. like I said,
.. like I said,	~Ron was my friend.
~Ron was my friend.	.. And I knew ~Ron was my [friend].
.. And I knew ~Ron was my [friend].	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	.. (H) .. A=nd,
LAJUAN:	.. (H) .. A=nd,	I was in love with ~Darren.
I was in love with ~Darren.	.. When I was in college,
.. When I was in college,	and to this d=ay,
and to this d=ay,	(H) ... if ~Scott wasn't here,
(H) ... if ~Scott wasn't here,	and .. ~Darren wasn't married to a woman,
and .. ~Darren wasn't married to a woman,	(H) .. I would be with ~Darren.
(H) .. I would be with ~Darren.	... (TSK) (H) He was probably .. the best ... s=exual partner,
... (TSK) (H) He was probably .. the best ... s=exual partner,	.. (H) I % could ever imagine.
.. (H) I % could ever imagine.	[@=]
[@=]	CAM:	[@@@@@@]
CAM:	[@@@@@@]	LAJUAN:	.. @@@@@
LAJUAN:	.. @@@@@	CAM:	[Oh my God].
CAM:	[Oh my God].	LAJUAN:	[<SM (H)= And we never] had sex SM>.
LAJUAN:	[<SM (H)= And we never] had sex SM>.	... (H) He's the only person I know who kissed me,
... (H) He's the only person I know who kissed me,	when h- when he kissed me I just came <SM right on the spot SM>.
when h- when he kissed me I just came <SM right on the spot SM>.	CAM:	.. (TSK) You never had sex.
CAM:	.. (TSK) You never had sex.	LAJUAN:	.. N=ot,
LAJUAN:	.. N=ot,	.. you know.
.. you know.	... Not the booty dance.
... Not the booty dance.	[(H)= @(Hx)= @@ @@ @
[(H)= @(Hx)= @@ @@ @	CAM:	[@@@@@@@
CAM:	[@@@@@@@	<@ The booty dance @>].
<@ The booty dance @>].	LAJUAN:	(H) @(Hx)=] @@@@@ [2@%= @(H)2]
LAJUAN:	(H) @(Hx)=] @@@@@ [2@%= @(H)2]	CAM:	[2<% Wo=w %>2].
CAM:	[2<% Wo=w %>2].	LAJUAN:	We= .. had u=m,
LAJUAN:	We= .. had u=m,	CAM:	... You had oral sex.
CAM:	... You had oral sex.	LAJUAN:	Oral sex=.
LAJUAN:	Oral sex=.	.. But he= was just,
.. But he= was just,	oh,
oh,	... (TSK) (H) and fi=ne.
... (TSK) (H) and fi=ne.	... (H) And I don't like men with like auburn hair.
... (H) And I don't like men with like auburn hair.	.. But he had auburn hair,
.. But he had auburn hair,	and these turquoise eyes,
and these turquoise eyes,	and he was like,
and he was like,	.. six foot,
.. six foot,	and just,
and just,	.. oh,
.. oh,	.. (H) and he still is.
.. (H) and he still is.	I was just like,
I was just like,	.. (H) he is to die= for.
.. (H) he is to die= for.	.. I thought,
.. I thought,	.. (H) .. <WH why WH> --
.. (H) .. <WH why WH> --	I was so young then and so stupid.
I was so young then and so stupid.	.. (H) He was the [one that] blamed me,
.. (H) He was the [one that] blamed me,	CAM:	[<P @@ P>]
CAM:	[<P @@ P>]	LAJUAN:	he wouldn't speak to me for six months,
LAJUAN:	he wouldn't speak to me for six months,	the first time we messed around we were drunk.
the first time we messed around we were drunk.	.. And we messed around.
.. And we messed around.	And he wouldn't speak to me for six months,
And he wouldn't speak to me for six months,	and said it was my fault that he knows he's not gay.
and said it was my fault that he knows he's not gay.	.. But yet he was the one that grabbed me and threw me on the floor.
.. But yet he was the one that grabbed me and threw me on the floor.	CAM:	.. He [confronted you and said] that to you?
CAM:	.. He [confronted you and said] that to you?	LAJUAN:	[And got on top of me].
LAJUAN:	[And got on top of me].	... (H) .. I called him,
... (H) .. I called him,	CAM:	Oh.
CAM:	Oh.	LAJUAN:	the next day after it had happened.
LAJUAN:	the next day after it had happened.	(H) And he said I don't want to talk to you,
(H) And he said I don't want to talk to you,	(H) you took advantage of me when I was drunk.
(H) you took advantage of me when I was drunk.	But he's the one that grabbed me,
But he's the one that grabbed me,	(H) kissed me,
(H) kissed me,	... took my underwear off,
... took my underwear off,	... a=nd,
... a=nd,	.. he started it.
.. he started it.	... You know,
... You know,	I knew= .. what I was about.
I knew= .. what I was about.	.. I .. didn't .. get into it,
.. I .. didn't .. get into it,	but I knew.
but I knew.	CAM:	.. Right.
CAM:	.. Right.	LAJUAN:	... And,
LAJUAN:	... And,	he was the one,
he was the one,	that was the first experience.
that was the first experience.	And then the second experience,
And then the second experience,	(H) he didn't speak to me for three months,
(H) he didn't speak to me for three months,	... % because he blamed me for that.
... % because he blamed me for that.	And then=,
And then=,	.. the third experience he blamed me for,
.. the third experience he blamed me for,	(H) he's been blaming me for all of these experiences,
(H) he's been blaming me for all of these experiences,	up unti=l,
up unti=l,	... uh= li=ke,
... uh= li=ke,	.. ~Scott and I got serious like the year after,
.. ~Scott and I got serious like the year after,	and I was still k=ind of seeing ~Darren,
and I was still k=ind of seeing ~Darren,	(H) I went out to Washington and stuff,
(H) I went out to Washington and stuff,	(H) and that's when he sto=pped blaming me.
(H) and that's when he sto=pped blaming me.	Now=,
Now=,	(H) he calls me and tells me that he wants to be with me.
(H) he calls me and tells me that he wants to be with me.	... And,
... And,	.. he called --
.. he called --	Like he called me last week,
Like he called me last week,	and said he wanted to be with me.
and said he wanted to be with me.	CAM:	... You're kidding.
CAM:	... You're kidding.	LAJUAN:	.. No.
LAJUAN:	.. No.	.. But he's married to ~Lauren.
.. But he's married to ~Lauren.	... And I keep telling him,
